t_index    term                 df
1          0for5                1
2          1/2                  14
3          1/2hour              1
4          1/2inch              1
5          1/2year              3
6          100000strong         2
7          10000seat            5
8          1000yearold          1
9          100degre             1
10         101mile              1
11         101milelong          1
12         106th                1
13         107th                2
14         10day                1
15         10minut              1
16         10monthlong          1
17         10page               2
18         10peopl              1
19         10stori              1
20         10th                 13
21         10year               12
22         10yearold            4
23         110degre             1
24         113yearold           1
25         116yearold           6
26         118man               1
27         1199/seiu            1
28         11judg               1
29         11member             1
30         11percentag          1
31         11th                 8
32         11yearold            2
33         120member            1
34         120seat              6
35         128player            1
36         12gaug               1
37         12mile               2
38         12milelong           2
39         12stori              1
40         12strong             1
41         12th                 15
42         12thseed             1
43         12year               2
44         12yearold            19
45         138page              2
46         139countri           1
47         13day                1
48         13match              1
49         13th                 9
50         13thseed             1
51         13year               13
52         145mile              1
53         14650ton             1
54         146th                1
55         14th                 2
56         14thseed             1
57         14year               3
58         14yearold            3
59         150000plu            1
60         15000seat            1
61         1500foot             5
62         1500mile             2
63         15foothigh           3
64         15hour               5
65         15minut              6
66         15month              1
67         15nation             2
68         15seed               2
69         15th                 5
70         15thseed             1
71         15yearold            1
72         16inch               1
73         16member             2
74         16page               1
75         16th                 2
76         16thseed             1
77         16year               1
78         16yearold            8
79         17th                 1
80         17yearold            11
81         18002hunger          1
82         1800424adra          1
83         1800521care          1
84         180055crwrc          1
85         180077oxfam          1
86         1800forkid           1
87         1800helpnow          2
88         1800lwrlwr2          1
89         1800sponsor          1
90         188856child          1
91         18footdeep           2
92         18member             1
93         18monthold           5
94         18parti              9
95         18th                 2
96         18year               1
97         18yearold            10
98         19minut              1
99         19th                 1
100        19yearold            12
101        1hour                3
102        1rank                1
103        1st                  1
104        1yearold             2
105        2000foot             2
106        20footby40foot       2
107        20minut              1
108        20page               1
109        20percentag          1
110        20th                 8
111        20thcenturi          1
112        20to40foot           1
113        20year               9
114        20yearold            10
115        21foot               1
116        21gun                2
117        21nation             1
118        21st                 3
119        21stcenturi          1
120        21yearold            1
121        220megawatt          2
122        22match              3
123        22member             3
124        22nd                 5
125        22yearold            11
126        23rd                 1
127        23yearold            9
128        246day               1
129        24carat              1
130        24citi               1
131        24hour               1
132        24th                 8
133        24yearold            10
134        250member            2
135        25foot               1
136        25th                 6
137        25yearold            1
138        26yearold            1
139        27yearold            6
140        28th                 1
141        28yearold            1
142        293strong            3
143        29yearold            3
144        2hour                3
145        2nd                  3
146        2seed                1
147        2storey              1
148        2yearold             7
149        300yardswid          1
150        30andov              1
151        30by40foot           2
152        30hour               1
153        30minut              1
154        30straight           1
155        30year               1
156        30yearold            9
157        31st                 1
158        31yearold            3
159        33footlong           1
160        33rd                 1
161        34foot               2
162        34yearold            2
163        350bed               1
164        357calib             2
165        35magnitud           1
166        35year               3
167        35yearold            1
168        38th                 2
169        38yearold            4
170        39yearold            4
171        3day                 1
172        3foothigh            1
173        3rd                  9
174        3to2                 1
175        3yearold             4
176        40bed                1
177        40by40               2
178        40by40feet           1
179        40by40foot           13
180        40foot               9
181        40footby40foot       2
182        40footlong           1
183        40man                1
184        40member             1
185        40page               1
186        40th                 1
187        40yearold            6
188        41st                 1
189        41yearold            4
190        42day                1
191        43rd                 7
192        43yearold            1
193        44yearold            4
194        47minut              2
195        47yearold            1
196        48hour               1
197        48inch               2
198        48th                 1
199        4all                 2
200        4point               3
201        4seed                1
202        4time                1
203        4yearold             9
204        50/50                1
205        500footlong          1
206        500year              1
207        505foot              10
208        505footlong          1
209        50calib              1
210        50minut              1
211        50year               3
212        50yearold            2
213        51st                 2
214        51yearold            1
215        52nd                 1
216        54th                 1
217        54yearold            7
218        55degre              1
219        55minut              2
220        55year               8
221        55yearold            4
222        56000ton             1
223        56yearold            7
224        57yearold            1
225        584foot              1
226        58year               1
227        5foot2               5
228        5foot8inch           1
229        5footlong            1
230        5th                  24
231        5yearold             6
232        6000mile             1
233        600acr               1
234        600th                1
235        60foot               1
236        60mile               1
237        60squaremil          1
238        62yearold            11
239        64yearold            3
240        66yearold            4
241        67member             1
242        67yearold            1
243        683rd                1
244        68yearold            3
245        69magnitud           1
246        6all                 1
247        6love                1
248        6th                  1
249        700000member         1
250        70yearold            1
251        72yearold            1
252        75horsepow           1
253        75yearold            3
254        76magnitud           9
255        78day                4
256        79magnitud           5
257        79yearold            2
258        7foot                1
259        7th                  2
260        7yearold             1
261        8000ton              1
262        80yearold            2
263        81yearold            3
264        8300ton              1
265        85magnitud           4
266        8600ton              8
267        86th                 2
268        8monthold            1
269        8seed                1
270        8th                  5
271        8yearold             2
272        90degre              1
273        9100ton              2
274        92nd                 1
275        93degre              2
276        95degre              1
277        97yearold            1
278        99day                1
279        99year               1
280        99yearold            1
281        9point               1
282        9th                  3
283        9yearold             1
284        __                   1
285        ___                  64
286        ____                 1
287        _about               1
288        _archi               2
289        _both                1
290        _buy                 1
291        _creat               1
292        _dorothi             1
293        _for                 1
